Conference,YEAR,TYPE,ARCHITECTURE,TECHNOLOGY,AREA,SNDR_plot_dB,P_fsnyq_pJ,fin_hf_Hz,fsnyq_Hz,FOMW_hf_fJ__conv_step,FOMS_hf_dB,TITLE,ABSTRACT,AUTHORS,sndr_a,p_fs_pJ_a,sndr_b,p_fs_pJ_b,SNR_a,f_a,SNR_b,f_b,ff,Envelope_a,Envelope_b
ISSCC,1997,OS,SDSC,0.8,25,110,7920000,48000,96000,30619.84833,158.0042765,"A 5 V, 118 dB ?? analog-to digital converter for wideband digital audio","Digital signal processing can replace analog signal processing in professional audio equipment only when analog-to-digital converter dynamic ranges approach 120 dB. Super-high-end audio applications extend the audio band beyond 30 kHz and require 96 kHz sampling frequency. This paper describes a multi-bit ?? modulator developed for high-end digital audio. The modulator is a single-loop, seventh-order type with a 3-level quantizer. The modulator samples the analog input at 6.144 MHz and has 140 dB signal-to-quantization noise in a 48 kHz bandwidth. The device is fabricated in a double-poly, double-metal, 0.8 ?m CMOS process ","Leung, K.Y.; Swanson, E.J.; Kafai Leung; Zhu, S.S.",,,,,,,,,1000,0.669364343,184.7623762
ISSCC,1997,OS,SDCT,0.5,0.4,96,57500,20000,40000,1114.803383,165.3930216,A 2.3 mW CMOS ?? modulator for audio applications,"This audio-quality CMOS ?? modulator operates from a 3.3 V supply with 2.3 mW power consumption. The dynamic range is 96 dB over a 20-20000 Hz bandwidth and THD for a 1 kHz maximum input signal is -104 dB. A modulator with power consumption increased to 6.6 mW at the same supply voltage has 10l dB dynamic range and THD<-110 dB, proving the tradeoff between power consumption and performance ","van der Zwan, E.J.",,,,,,,,,1258.925412,0.669364343,184.7623762
ISSCC,1998,OS,SDSC,0.6,,75,48000,100000,200000,10444.2271,145.1772877,A 100 kHz 9.6 mW multi bit ?? DAC and ADC using noise shaping dynamic elements matching with tree structure,"A multi-bit ?? modulator (??M) is an attractive means for realizing a high-speed low-power data converter. A loss in dynamic range occurs if stabilization of the feedback loop for a higher-order DSM uses a 1b feedback signal. The classical 1b ADC and/or DAC do not follow the theoretical SNR of (8+6 N)L(dB), where N is the order of the DSM, and 2L is the oversampling ratio. In contrast, multi-bit feedback stabilizes a higher-order DSM with little loss of dynamic range. As the internal signal swing is reduced with increase in number of feedback signal bits, the multi-bit DSM requires a lower slew rate and thus less power for analog circuits than the 1b case. There is an increase in SNR due to use of a multi-bit internal DAC to reduce the oversampling ratio and hence to reduce power consumption of the analog portion ","Yasuda, A.; Tanimoto, H.; Lida, T.",,,,,,,,30.06140704,1584.893192,0.669364343,184.7623762
ISSCC,1998,OS,"SDSC, SwOpAmp",0.5,0.85,62,1250,16000,32000,1215.093946,148.0205999,A 900 mV 40 ?W switched opamp ?? modulator with 77 dB dynamic range,"Portable electronic systems require low-voltage low-power building blocks. An important building block is an A/D converter. ?? ADCs provide an efficient way of trading off speed for resolution. The switched op amp (SO) technique allows design of switched-capacitor (SC) circuits at very low supply voltage without the use of multithreshold technologies or voltage multipliers to drive the switches. The basic idea of it is to leave out the switches connected to the output of the amplifier in a SC integrator, because those are the ones that fail to conduct when the supply voltage is low. Switches can only be connected to well-chosen reference voltages. In this implementation the differential modified SO integrator cell is used, so the reference voltages are VSS and VDD. This allows maximum overdrive of VDD-VSS for the switches ","Peluso, V.; Vancorenland, P.; Marques, A.; Steyaert, M.; Sansen, W.",,,,,,,,,1995.262315,0.669364343,184.7623762
ISSCC,1998,NQ,Pipe,0.7,9,65.4,12500,10000000,20000000,8214.722855,141.4205999,A single-ended 12b 20Msample/s self-calibrating pipeline A/D converter,This single-ended 12b 20 MSample/s pipeline ADC has good performance for Nyquist frequency inputs. Architecture and calibration algorithms minimize digital correction circuitry and noise crosstalk. The single-ended performance is achieved with a novel input common-mode feedback technique in the S/H stage. The total power dissipation is only 250 mW from a single 5 V supply,"I. Opris, L. Lewicki, and B. Wong",,,,,,,,,2511.886432,0.669364343,184.7623762
ISSCC,1998,NQ,"Pipe, TI",1,22,55,14100,20000000,40000000,30741.36725,130.4898155,Digital background calibration of a 10b 40Msample/s parallel pipelined ADC,This time-interleaved pipelined ADC uses monolithic digital background calibration to overcome the effects of the offset and gain mismatches between channels. The contributions here are use of digital background calibration to overcome these mismatches and implementation of these techniques in conjunction with the ADCs on one CMOS IC. Background calibration is done by adding a calibration signal to the ADC input and processing both simultaneously. A potential advantage of this approach is that the calibration signal acts as dither and improves the linearity of the system ,"D. Fu, K. Dyer, S. Lewis, and P. Hurst,",,,,,,,,,3162.27766,0.669364343,184.7623762
ISSCC,1998,NQ,"Pipe, TI",1,42,58,16300,20000000,40000000,25036.47255,132.8811664,Analog background calibration of a 10b 40Msample/s parallel pipelined ADC,"The sampling rate of an ADC often limits speed of a signal processing system. Sampling rate at the A/D interface can be increased by using multiple component ADCs that are time interleaved. Mismatches in offsets, gains, and sampling times among the component ADCs limit the performance of the ADC system. Previous time-interleaved ADC arrays use careful layout, foreground calibration and/or digital filters to minimize the effects of these mismatches. The presented time-interleaved ADC uses monolithic analog background calibration to match the gains and offsets of the component pipelined ADCs. The contributions are an expandible adaptive background calibration technique for parallel ADCs and a calibration loop that uses a mixed-signal integrator. The fully-differential prototype is fabricated in a 1.0 ?m CMOS single-poly process with poly-thin-oxide-diffusion capacitors. It includes 3 pipelined ADCs, one algorithmic ADC, the calibration signal generator, channel control logic, and 6 mixed-signal integrators, each followed by a unity-gain buffer that supplies the offset or reference correction voltage to one of the pipelined ADCs. The SC integrator and ADC stages use telescopic opamps with source followers at the input ","K. Dyer, D. Fu, S. Lewis, and P. Hurst,",,,,,,,,,3981.071706,0.669364343,184.7623762
ISSCC,1998,NQ,Pipe,0.5,14.5,67,26500,5000000,10000000,14485.07688,139.7572413,A continuously-calibrated 10Msample/s 12b 3.3V ADC,"Continuous calibration allows a converter to function continuously in the presence of environmental fluctuations and supply variations by periodically correcting for errors without interrupting the ADC output. This paper introduces a technique for continuously calibrating a pipelined A/D converter. Calibration is performed in the analog domain so as to avoid high-linearity calibration hardware or complex signal processing. A 10 MS ample/s, 12b converter implemented in a conventional 0.5 ?m, single-poly, four-metal, CMOS technology operates from a 3.3V supply. This experimental circuit digitizes a 4.8 MHz signal with a peak SNDR of 67 dB ",Joseph Ingino Jr. and Bruce Wooley,,,,,,,,,5011.872336,0.669364343,184.7623762
ISSCC,1998,NQ,"Pipe, TI",0.5,5.5,43.3,933,37500000,75000000,7813.215385,130.5893323,8b 75Msample/s 70mW parallel pipelined ADC incorporating double sampling,This 8b pipelined analog-to-digital converter (ADC) incorporates double sampling into the residue signal path of a 1.5b-per-stage architecture to effectively double the throughput of the ADC for a given analog power consumption. Residue amplifiers and sub-ADC comparators are shared between two time-interleaved channels and the sampling capacitors in the second stage are scaled in order to reduce power consumption. The ADC presented here achieves 75 MSamples/s while consuming 70 mW. The converter measures 5.5 mm2 and is fabricated in a 3.3 V 0.5 ?m digital CMOS process with four levels of metal and no special mask layers for passive components,W. Bright,,,,,,,,,6309.573445,0.669364343,184.7623762
ISSCC,1998,NQ,Flash,0.35 BiCMOS,0.75,31,643,175000000,350000000,22180.36969,119.9085553,A 5.75b 350Msample/s or 6.75b 150Msample/s reconfigurable flash ADC for a PRML read channel,"A reconfigurable flash analog-to-digital converter (ADC), is suited for use in a partial response maximum likelihood (PRML) read channel with digital servo. A 5V version is integrated in a read channel with digital servo using BiCMOS technology","P. Setty, J. Barner, J. Plany, H. Burger, and J. Sonntag",,,,,,,,,7943.282347,0.669364343,184.7623761
ISSCC,1998,NQ,Folding,0.50 BiCMOS,0.6,29.2,500,200000000,400000000,21224.29532,119.2,A 400Msample/s 6b CMOS folding and interpolating ADC,"A 6b 400 MSample/s folding and interpolating CMOS ADC uses a low-impedance current-mode approach. Current division interpolation in the folders allows fast low-voltage operation. This interpolation together with a short aperture comparator, gives good performance for high-frequency inputs, without using a sample-and-hold. The ADC uses a single clock and its complement. The 0.6 mm2 CMOS converter, fabricated in a 0.5 ?m BiCMOS process dissipates 200 mW from a 3.2 V supply ","M. Flynn and B. Sheahan,",,,,,,,,,10000,0.669364343,184.762376
ISSCC,1999,OS,SDSC,0.5,0.53,88,25100,20000,40000,1223.703959,160.9886393,A 1.5 V 1.0 mW audio ?? modulator with 98 dB dynamic range,"This audio-quality switched-capacitor (SC) ?? modulator operates from a single 1.5 V supply and dissipates 1.0 mW. When clocked at 2.82 MHz, it achieves 98.2 dB dynamic range (DR) in a 20 kHz bandwidth. The peak SNR and SNDR are 90 dB and 88 dB, respectively. The fully-differential experimental circuit has been integrated in a 0.5 ?m triple-metal single-poly CMOS n-well process with metal-to-poly capacitors.",A.L. Coban; P.E. Allen,,,,,,,,,12589.25412,0.669364343,184.7623759
ISSCC,1999,OS,SDCT,0.35,0.2,84,9000,100000,200000,694.7566858,161.4472749,A 1.8 mW CMOS ?? modulator with integrated mixer for A/D conversion of IF signals,"This CMOS IF?? modulator combines the functions of an IF mixer and an anti-aliasing filter with a continuous-time (CT) baseband ?? modulator for A/D conversion of IF signals in radio receivers. Advantage is taken of the high linearity and low-power of the CT baseband ?? modulator. The resulting IF?? modulator consumes 1.8 mW and has +36 dBV IP3. The IF ?? modulator of this paper is for mobile phones (GSM specification), and is promising for application in other types of receivers ","Breems, L.J.; van de Zwan, E.J.; Dijkmans, E.C.; Huijsing, J.H.",,,,,,,,,15848.93192,0.669364343,184.7623757
ISSCC,1999,OS,"SDSC, Pipe",1.2,47,71,18000,9000000,18000000,6207.65404,145.436975,A Nyquist-rate pipelined oversampling A/D converter,"Oversampling and noise-shaping techniques, such as ?? modulation, have an inherent tradeoff between accuracy and speed, whereby resolution in amplitude is at the expense of resolution in time. Because their internal circuits must operate over many clock cycles to produce a single result, they have limited data rates and power dissipation is a concern. Much attention has been focused on improving the speed and power of ?? analog-to-digital converters (ADCs) by use of higher-order modulators, multi-bit feedback, and multi-bit architectures with single-bit feedback. However, data rates remain limited to less than a few MHz and are not easily extended. A pipelined oversampling architecture circumvents this speed-resolution tradeoff by performing spatial, rather than temporal, oversampling. It combines the high resolution of ?? techniques with the high speed of pipelined converters so that both of these attributes are simultaneously achievable ","Paul, S.; Hae-Seung Lee; Goodrich, J.; Alailima, T.; Santiago, D.",,,,,,,,,19952.62315,0.669364343,184.7623754
ISSCC,1999,OS,SDCT,0.5,0.36,63.5,150000,200000,400000,122682.7858,128.7287875,A 6th-order continuous-time bandpass ?? modulator for digital radio IF,"A bandpass SD Modulator (SDM) ADC uses negative feedback of a bandpass-filtered error-signal and a high oversampling ratio to reduce the in-band errors of a low-resolution quantizer. As high-order (>4) bandpass SDMs exhibit signal-dependent stability, multibit quantizers are often used to lower the quantization noise of a 2nd or 4th order SDM. However, the accuracy required of the intermediate quantizer levels is high as mismatch affects the overall SDM performance. A 6th-order SDM has a single-bit quantizer for digitizing IF signals of 10.7 MHz ","van Engalen, J.; van de Plassche, R.; Sokvoort, E.; Venes, A.",,,,,,,,,25118.86432,0.669364344,184.7623749
ISSCC,1999,OS,SDCT,0.80 BiCMOS,1.5,66,225000,40000,80000,137994.7079,129.4678749,A 400 MHz 12 b 18 mW IF digitizer with mixer inside a ?? modulator loop,"One method of IF digitization consists of a down-conversion mixer followed by a lowpass ?? modulator. However, as one moves to high IF, the down conversion mixer's distortion deteriorates rapidly and more power has to be dissipated to restore the mixer's distortion to an acceptable level. In order to achieve low-distortion while maintaining low power dissipation, a new digitizer that suppresses this mixer distortion by placing the mixer inside a modified ?? feedback loop, and capable of operating at 400 MHz, is presented","Namdar, A.; Laung, B.H.",,,,,,,,,31622.7766,0.669364344,184.7623741
ISSCC,1999,NQ,Algo,1.5,5.94,71,128000,62500,125000,44143.31761,136.9176003,A 12 b digital-background-calibrated algorithmic ADC with -90dB THD,"The linearity of analog-to-digital converters (ADCs) is often limited by component mismatches. Trimming can be used to achieve high linearity but cannot track variations over time caused by component aging or by temperature and power-supply changes. Background calibration overcomes this limitation. However, previous background-calibration methods require complicated post processing, occupy some of the range of the analog signal under conversion, or are tailored for a specific type of converter. This ADC uses a queue-based architecture for creating calibration time slots without disturbing the sampling of the input signal. The digital background calibration uses an adaptive algorithm to improve linearity. The queue-based architecture for generating the calibration time slots and the digital-background-calibration method are independent and can be used separately ","Ozan E. Erdogan, Paul J. Hurst, and Stephen H. Lewis",,,,,,,,,39810.71706,0.669364345,184.7623729
ISSCC,1999,NQ,Two-Step,0.35,0.8,48.7,7800,12500000,25000000,34999.403,126.784754,A 3.3V 10b 25Msample/s two-step ADC in 0.35µm CMOS,"System-on-chip for video, QAM and VSB applications requires analog-to-digital converters (ADC) in state-of-the-art CMOS technology. The untrimmed ADC is realized in standard single poly 0.35 ?m CMOS technology with 3.3 V supply voltage, dissipates 195 mW and measures 0.8 mm2, including track-and-hold and clock-generation circuits. This ADC achieves 9.3 ENOB with an effective resolution bandwidth of 14 MHz at 16 MSample/s sample frequency. The ADC is based on a two-step architecture, which combines a high sampling rate with a limited number of comparators. This ADC operates at 3.3 V supply voltage by using a floating ladder structure, full differential dual residue signal processing with improved switching and offset-compensated residue amplifiers. Latency is kept at a minimum of 2 cycles","Hendrik van der Ploeg and Robert Remmers,",,,,,,,,,50118.72336,0.669364347,184.7623709
ISSCC,1999,NQ,Folding,0.60 BiCMOS,0.8,54.1,1630,20000000,40000000,3907.440765,139.0151664,A 65 mW 10 b 40 Msample/s BiCMOS Nyquist ADC in 0.8 mm 2,"This ADC is to be embedded in video-signal-processing ICs. Because this integration is mixed-signal, focus during architectural and circuit design is on low power, low area consumption and low substrate noise sensitivity and generation. The 10 b ADC is based on a cascaded folding and interpolating architecture. Folding and interpolating factors are optimized for low power and low area. The circuit fully exploits the available 5 V supply by means of stacked folding topologies and dimensioning is based on balancing trade-off parameters for the various devices and stages. The untrimmed ADC achieves Nyquist performance at 40 MSample/s: the input frequency, where half an effective bit is lost compared to low input frequency performance, is 20 MHz. The low input frequency performance is 9.2 effective bits. The 0.8 mm2 ADC is in 7 GHz, 0.6 ?m BiCMOS and dissipates 65 mW from a single 5 V supply ",Gian Hoogzaad and Raf Roovers,,,,,,,,,63095.73445,0.669364349,184.7623678
ISSCC,1999,NQ,Two-Step,0.5,1.6,58.7,3750,10000000,20000000,5330.249702,139.9493874,A 75mW 10b 20MSample/s CMOS subranging ADC with 59dB SNDR,"In a two-step CMOS subranging ADC (CSA), a coarse comparator bank determines which subset of fine reference taps from a resistor ladder should be passed (without amplification or subtraction from the ADC input) to a fine comparator bank by an analog multiplexer (AMUX). This CSA provides advantages over previously-reported variations of this architecture. These advantages include absolute value signal processing, an extended settling period for the fine references, a fully differential topology, and a front-end sample-and-hold amplifier (SHA). As a result of these features, this ADC achieves 9.5 ENOB Nyquist performance at 75 mW and two-clock-cycle conversion latency",Brian Brandt and Joseph Lutsky,,,,,,,,,79432.82347,0.669364353,184.7623628
ISSCC,1999,NQ,Flash,0.4,2.4,34.9,800,250000000,500000000,17677.66953,122.8288002,A CMOS 6b 500MSample/s ADC for a hard disk drive read channel,High-speed A/D converters (ADCs) are essential for improving the transfer rate of hard disk drives. This CMOS 6 b 500 MSample/s full-flash ADC for a read channel has 5.5 effective number of bits (ENOB) for a 125 MHz input signal (which is one quarter of the sampling rate). The ADC occupies 2.4 mm2 and power consumption is 400 mW for a 3.3 V supply. 0.4 ?m CMOS technology is used ,Yuko Tamba and Kazuo Yamakido,,,,,,,,,100000,0.66936436,184.762355
ISSCC,1999,NQ,Flash,0.6,5.25,27.5,660,100000000,500000000,34073.41648,116.2942607,A 6b 500MSample/s CMOS flash ADC with a background interpolated auto-zeroing technique,"A 6 b 500 MSample/s Flash ADC employs interpolated auto-zeroing carried out in background mode. To improve the ADC differential nonlinearity characteristic, a resistor network with its inherent error averaging property is employed for interpolation ","Kwangho Yoon, Sungkyung Park, and Wonchan Kim",,,,,,,,,125892.5412,0.66936437,184.7623425
ISSCC,2000,NQ,Folding,Bipolar,261,75,12500,50000000,100000000,2719.850808,151.0205999,A 14b 100Msample/s 3-stage A/D converter,"A 14b three-stage ADC uses a complementary bipolar process to achieve a 100MSample/s encode rate with a SFDR of >90 dB and an SNR of 75 dB. While the design is based on a traditional multi-stage architecture, the three encoder stages use serial-ripple converters. Unlike the typical N-bit flash converter which requires 2-N-1 comparators, the serial-ripple converter has only N comparators. The result is a smaller die area and lower power dissipation than flash. This design uses a total of 16 comparators, and at the full sample rate consumes 1250 mW. It is fabricated in a 0.8 ?m double-poly complementary bipolar process ","Carl Moreland, Michael Elliott, Frank Murden, Joe Young, Mike Hensley, and Russ Stop",,,,,,,,,158489.3192,0.669364386,184.7623228
ISSCC,2000,NQ,Folding,0.5,8.7,66,20000,20000000,40000000,12266.19626,139.9794001,A 13b 40Msample/s CMOS pipelined folding ADC with background offset trimming,"The folding/interpolating ADC exhibits a distinct trait attributed by folder zero-crossing error and gain mismatch, which appear in general as an INL error. It is of paramount interest to control the zero-crossings accurately so that they can be spaced evenly to cover the whole conversion range. The folder zero-crossing errors collectively result from folder offset, reference error, tail-current mismatch, interpolation error, etc. In CMOS, the poor offset of the differential pair as well as other process uncertainty have resulted in the performance much poorer than the bipolar counterpart. This CMOS folding/interpolating ADC operates with 13 b linearity at bipolar folder speed ","Myung-Jun Choe, Bang-Sup Song, and Kantilal Bacrania,",,,,,,,,,199526.2315,0.669364411,184.7622915
ISSCC,2000,NQ,Pipe,0.5,10,70,6620,32500000,65000000,2559.853324,148.7841491,A 12b 65Msample/s CMOS ADC with 82dB SFDR at 120MHz,"A recent trend in cellular basestation design is to digitize multiple channels with a single ADC, often at the intermediate frequency (IF). This requires an ADC with wide dynamic range, particularly SFDR above 80 dB and SNR better than 70 dB, even when sampling input frequencies above 70 MHz. This 12b, 65MSample/s (MSPS) ADC incorporates a wide-bandwidth, low-distortion input stage coupled with a digitally-calibrated, multibit pipeline architecture optimized for low power consumption ","Larry Singer, Stacy Ho, Mike Timko, and Dan Kelly",,,,,,,,,251188.6432,0.669364451,184.762242
